user,created_at,location,coordinates,tweet_text
Esther_sanp,2016-06-02 0:32,"Belo Horizonte, Brasil",,RT @_thiaguinhook: Essa \xc3\xa9 a escala\xc3\xa7\xc3\xa3o ideal na minha opini\xc3\xa3o hoje... A zika vai embora!!!!!!! VAAAAAMOS CRUZEIRO
,,,,
lindamartinseng,2016-06-02 0:32,Michigan,,I https://t.co/Tuerk8ru99
,,,,
eslamzika4482,2016-06-02 0:32,zika01129008487 @ 01110094982,,\xd8\xa7\xd9\x84\xd9\x86\xd8\xa7\xd8\xb3 \xd8\xa7\xd9\x84\xd9\x84\xd9\x8a \xd8\xb2\xd9\x8e\xd8\xb9\xd9\x84\xd9\x87\xd9\x8f\xd9\x85 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x91 \xd9\x87\xd9\x8a\xd8\xa6\xd8\xa9 \xd8\xb3\xd9\x83\xd9\x8f\xd9\x88\xd8\xaa \xd8\x8c \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x8a\xd9\x83\xd9\x88\xd9\x86 \xd9\x81\xd9\x8a \xd8\xb9\xd9\x88\xd9\x86\xd9\x83\xd9\x8f\xd9\x85 \xd9\x88\xd8\xa7\xd9\x84\xd9\x84\xd9\x87.\n#zika
,,,,
subtlenergy,2016-06-02 0:32,"Houston, Texas",,Health world leans on IT in Zika fight - leveraging EHR &amp; #decisiontrees - common data standards key #datascience https://t.co/QSasvmtnHx
,,,,
SusanaDeLeonMD,2016-06-02 0:32,Panama,,RT @MBradyMD: What pediatricians need to know about Zika.  Remember your families travel. https://t.co/V8DX8XKeBq
,,,,
n_jandu,2016-06-02 0:32,,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
lucy_trendwatch,2016-06-02 0:32,"Amsterdam, North Holland",,RT A girl with the Zika virus was born at a New Jersey hospital https://t.co/fo0E12UfMJ
,,,,
McQ116,2016-06-02 0:32,"Puebla, M\xc3\xa9xico",,RT @AztecaPuebla: La Secretar\xc3\xada de Salud inform\xc3\xb3 que aumentaron los casos de Zika en M\xc3\xa9xico. Los detalles. &gt;&gt; https://t.co/qTf3SYs586 https\xe2\x80\xa6
,,,,
DriellyRodrigu,2016-06-02 0:32,"S\xc3\xa3o Paulo, Brasil",,Minha m\xc3\xa3e \xc3\xa9 m\xc3\xb3 zika plmds
,,,,
melissa_611,2016-06-02 0:32,"Jackson, GA",,The 1 Thing You Need to Read if You Don't Want to Contract Zika https://t.co/NoxLeZYVU9
,,,,
ceforney55,2016-06-02 0:32,,,RT @SmithsonianMag: A common bacteria that infects mosquitoes stops them from carrying more deadly diseases. https://t.co/BisFNb4zBj https:\xe2\x80\xa6
,,,,
creddingvye,2016-06-02 0:32,RhodeIsland,,"RT @pash22: Millions in Ebola funding, a casualty of Zika virus, may not be replenished in USA  https://t.co/wP28ltOZcD via @dylanlscott"
,,,,
Scattermae777M,2016-06-02 0:31,,,RT @joeyyeo13: ..Limbaugh on Obama setting up Zika $cam https://t.co/iWagXoNwQe via @YouTube https://t.co/YgMbtIqwUU
,,,,
_thiaguinhook,2016-06-02 0:31,BH ,,Essa \xc3\xa9 a escala\xc3\xa7\xc3\xa3o ideal na minha opini\xc3\xa3o hoje... A zika vai embora!!!!!!! VAAAAAMOS CRUZEIRO
,,,,
Cheesegod69,2016-06-02 0:31,Bay Area,,Damn Daniel kissed Alex from Target and have him the Zika Virus and Alex from Target got so mad he shot the gorilla
,,,,
yulianethillet,2016-06-02 0:31,,,"RT @ivettesosaT2: Con enfermedades como Zika, Dengue y Chikunguya se ha terminado abasto de plaquetas en Banco Sangre PR. Dona HOY! https:/\xe2\x80\xa6"
,,,,
_eltuitdeMario,2016-06-02 0:31,,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
